show_name,parent_category,middle_category,child_category,address,tel,google_url
ICON,飲食,外国料理,その他,渋谷区代々木代々木1-41-4,080-7399-3894,
ai's,飲食,外国料理,イタリア料理,渋谷区広尾1-1-38スクエアサイドビル1F,03-6712-6201,
あいと電氣餅店,飲食,喫茶店・カフェ,その他,渋谷区富ヶ谷1-3-4川端ハイツ　1F,03-5738-7849,https://liff.line.me/1645278921-kWRPP32q/?accountId=denkimochi
Irish Pub Banshee,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区宇田川町33-8エミリアビル1階,03-6809-0580,
アウルセカンドフロア,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区幡ヶ谷2-47-11田口ビル2F,080-9155-2960,
あおさんかく,飲食,日本料理,その他,渋谷区本町5-38-10SKプラネット101,03-6300-4923,
青山煮干しラーメンハレルヤ,飲食,日本料理,ラーメン,渋谷区渋谷2-9-10青山台ビルB1,03-6433-5083,https://instagram.com/kidzhareruya?igshid=OGQ5ZDc2ODk2ZA==
赤垣,飲食,日本料理,うなぎ,渋谷区初台1-38-11赤垣,080-6519-0307,
赤札屋代々木店,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷4-29-12北参道ダイヤモンドパレス101,03-6459-2762,
akarimado,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-8-15KODAビル幡ヶ谷1階,03-6273-6200,
あきさば,飲食,ステーキ・焼肉,焼肉,渋谷区神宮前6丁目19-14神宮前ハッピービル,090-4220-2411,
アキッチョ笹塚バンブー,飲食,外国料理,イタリア料理,渋谷区笹塚2-10-6今井ビル103,03-6276-0122,
Aquavit,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区宇田川町31-4シノダビルB1,090-1705-2834,
AKUBI-台湾火鍋&クラフトビール-,飲食,外国料理,その他,渋谷区猿楽町2-13F93daikanyama 1F,03-6433-7987,
アサッテムニュ,飲食,外国料理,その他,渋谷区千駄ヶ谷3-17-5グエル・サカエ北参道 1F,03-6434-5436,
アジアンダイニングバー謝々ホテル,飲食,居酒屋,ダイニング・バー,渋谷区元代々木町2-9シティーハウス代々木公園1.2階,03-3467-7314,
アジアンキッチンラーイマーイ,飲食,外国料理,その他,渋谷区神宮前4-9-5,03-6434-0756,
asianstandAMA,飲食,外国料理,東南アジア料理,渋谷区代々木1-33-11階,03-6455-5127,
Asian dining and bar sathi,飲食,外国料理,インド料理,渋谷区猿楽町23-6Scott side 代官山2f,03-3476-7080,
