show_name,parent_category,middle_category,child_category,address,tel,google_url,latitude,longitude,google_place_id
ICON,飲食,外国料理,その他,渋谷区代々木代々木1-41-4,080-7399-3894,,35.6826753,139.699743,ChIJ6eJIMc-MGGARcKGeCa0hgzg
ai's,飲食,外国料理,イタリア料理,渋谷区広尾1-1-38スクエアサイドビル1F,03-6712-6201,,35.64995860000001,139.7121127,ChIJI3SJD2qLGGARYMXPdKb9f8U
あいと電氣餅店,飲食,喫茶店・カフェ,その他,渋谷区富ヶ谷1-3-4川端ハイツ　1F,03-5738-7849,https://liff.line.me/1645278921-kWRPP32q/?accountId=denkimochi,35.669451,139.6896717,ElJKYXBhbiwg44CSMTUxLTAwNjMgVG9reW8sIFNoaWJ1eWEsIFRvbWlnYXlhLCAxLWNoxY1tZeKIkjPiiJLvvJQg5bed56uv44OP44Kk44OEIDFmIh4aHAoWChQKEglnMOlmS_MYYBE9JxlPJA5PkRICMWY
あいぱくTOKYO,飲食,喫茶店・カフェ,その他,渋谷区神宮前1-20-4アクシア原宿103C,03-6823-4761,,35.6715192,139.7047689,ElFKYXBhbiwg44CSMTUwLTAwMDEgVG9reW8sIFNoaWJ1eWEsIEppbmfFq21hZSwgMS1jaMWNbWXiiJIyMOKIku-8lCBBeGlh5Y6f5a6_IDEwM2MiIBoeChYKFAoSCeOKZzy7jBhgESaMDZ7O5h4UEgQxMDNj
Irish Pub Banshee,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区宇田川町33-8エミリアビル1階,03-6809-0580,,35.6609124,139.6968093,EjYx6ZqOLCAzMy04IFVkYWdhd2FjaMWNLCBTaGlidXlhLCBUb2t5byAxNTAtMDA0MiwgSmFwYW4iIBoeChYKFAoSCfGBinqpjBhgEUqPvgoZbIg8EgQx6ZqO
アウルセカンドフロア,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区幡ヶ谷2-47-11田口ビル2F,080-9155-2960,,35.6792287,139.6771642,ElxKYXBhbiwg44CSMTUxLTAwNzIgVG9reW8sIFNoaWJ1eWEsIEhhdGFnYXlhLCAyLWNoxY1tZeKIkjQ34oiS77yR77yRIOODqeODlOOCuea4i-iwt-acrOeUuiAyZiIeGhwKFgoUChIJgchC6yTzGGARc0hTch5t9xkSAjJm
あおさんかく,飲食,日本料理,その他,渋谷区本町5-38-10SKプラネット101,03-6300-4923,,35.6838459,139.676462,ChIJ3yBW0CbzGGARUAyHY-7ogCU
青山煮干しラーメンハレルヤ,飲食,日本料理,ラーメン,渋谷区渋谷2-9-10青山台ビルB1,03-6433-5083,https://instagram.com/kidzhareruya?igshid=OGQ5ZDc2ODk2ZA==,35.6607504,139.7073814,EjBiMSwgMi1jaMWNbWUtOS0xMCBTaGlidXlhLCBUb2t5byAxNTAtMDAwMiwgSmFwYW4iHhocChYKFAoSCZNdRTtfixhgEVPJPZYh3BmJEgJiMQ
赤垣,飲食,日本料理,うなぎ,渋谷区初台1-38-11赤垣,080-6519-0307,,35.6803221,139.6869306,ChIJa3A_PDLzGGARK3kyYtKb5t0
赤札屋代々木店,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷4-29-12北参道ダイヤモンドパレス101,03-6459-2762,,35.6810394,139.7038643,Em1KYXBhbiwg44CSMTUxLTAwNTEgVG9reW8sIFNoaWJ1eWEsIFNlbmRhZ2F5YSwgNC1jaMWNbWXiiJIyOeKIku-8ke-8kiDljJflj4LpgZPjg4DjgqTjg6Tjg6Ljg7Pjg4njg5Hjg6zjgrkgMTAxIh8aHQoWChQKEgkfzZGnx4wYYBFbyPGHRHcp4hIDMTAx
